```csv
Question,Answer
What is AI?,Artificial Intelligence enables machines to simulate human intelligence.
What is Machine Learning?,Machine Learning is a subset of AI that learns from data.
What is Deep Learning?,Deep Learning uses neural networks with many layers.
What is Python?,Python is a popular programming language.
Who developed Python?,Python was created by Guido van Rossum.
What is NLP?,Natural Language Processing helps computers understand human language.
What is Flask?,Flask is a lightweight Python web framework.
What is HTML?,HTML is used to build web pages.
What is CSS?,CSS is used for styling web pages.
What is JavaScript?,JavaScript makes web pages interactive.
What is ChatGPT?,ChatGPT is an AI chatbot developed by OpenAI.
What is GitHub?,GitHub is a platform for hosting and collaborating on code.
How do I install Python?,Download Python from https://python.org and run the installer.
What is VS Code?,Visual Studio Code is a free source-code editor.
What is SQL?,SQL is a language for managing relational databases.
```
